premise_1,premise_2,conclusion,n,empirical_n,empirical_stat,ci_lower,mean,ci_upper,conclusion_quantifier,model,model_lower,model_mean,model_upper
All;A;B,All;B;C,All;A;C,96,96,0.6906474820143885,0.6142438867438869,0.6920556298263953,0.76517595307917885,All,mReasoner-Indiv,1,1,1
All;A;B,All;B;C,All;A;C,96,96,0.6906474820143885,0.6142438867438869,0.6920556298263953,0.76517595307917885,All,PHM-Indiv,0.47366642958748223,0.5540325365156601,0.6304725241545893
All;A;B,All;B;C,All;A;C,96,96,0.6906474820143885,0.6142438867438869,0.6920556298263953,0.76517595307917885,All,mReasoner-Group,1,1,1
All;A;B,All;B;C,All;A;C,96,96,0.6906474820143885,0.6142438867438869,0.6920556298263953,0.76517595307917885,All,PHM-Group,0.36293494152046785,0.44141592519564316,0.5214363354037268
All;A;B,All;B;C,All;C;A,13,13,0.09352517985611511,0.04728936150916017,0.09286538387799426,0.14483285075019742,All,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,All;C;A,13,13,0.09352517985611511,0.04728936150916017,0.09286538387799426,0.14483285075019742,All,PHM-Indiv,0.25190698331919703,0.3242162856234961,0.4
All;A;B,All;B;C,All;C;A,13,13,0.09352517985611511,0.04728936150916017,0.09286538387799426,0.14483285075019742,All,mReasoner-Group,0,0,0
All;A;B,All;B;C,All;C;A,13,13,0.09352517985611511,0.04728936150916017,0.09286538387799426,0.14483285075019742,All,PHM-Group,0.4785636645962733,0.5585840748043568,0.6370650584795321
All;A;B,All;B;C,No;C;A,1,1,0.007194244604316547,0.006289308176100629,0.010958194855348113,0.025462863003346648,No,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,No;C;A,1,1,0.007194244604316547,0.006289308176100629,0.010958194855348113,0.025462863003346648,No,PHM-Indiv,0,0,0
All;A;B,All;B;C,No;C;A,1,1,0.007194244604316547,0.006289308176100629,0.010958194855348113,0.025462863003346648,No,mReasoner-Group,0,0,0
All;A;B,All;B;C,No;C;A,1,1,0.007194244604316547,0.006289308176100629,0.010958194855348113,0.025462863003346648,No,PHM-Group,0,0,0
All;A;B,All;B;C,NVC;,7,7,0.050359712230215826,0.0163544106167057,0.05055199088619939,0.08848080328021615,NVC,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,NVC;,7,7,0.050359712230215826,0.0163544106167057,0.05055199088619939,0.08848080328021615,NVC,PHM-Indiv,0.037306522940851294,0.07924003980611705,0.12501785714285713
All;A;B,All;B;C,NVC;,7,7,0.050359712230215826,0.0163544106167057,0.05055199088619939,0.08848080328021615,NVC,mReasoner-Group,0,0,0
All;A;B,All;B;C,NVC;,7,7,0.050359712230215826,0.0163544106167057,0.05055199088619939,0.08848080328021615,NVC,PHM-Group,0,0,0
All;A;B,All;B;C,Some not;A;C,3,3,0.02158273381294964,0.006711409395973154,0.022742539279534252,0.046534883720930224,Some not,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,Some not;A;C,3,3,0.02158273381294964,0.006711409395973154,0.022742539279534252,0.046534883720930224,Some not,PHM-Indiv,0,0,0
All;A;B,All;B;C,Some not;A;C,3,3,0.02158273381294964,0.006711409395973154,0.022742539279534252,0.046534883720930224,Some not,mReasoner-Group,0,0,0
All;A;B,All;B;C,Some not;A;C,3,3,0.02158273381294964,0.006711409395973154,0.022742539279534252,0.046534883720930224,Some not,PHM-Group,0,0,0
All;A;B,All;B;C,Some not;C;A,3,3,0.02158273381294964,0.006711409395973154,0.022546009770365305,0.04896828523589085,Some not,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,Some not;C;A,3,3,0.02158273381294964,0.006711409395973154,0.022546009770365305,0.04896828523589085,Some not,PHM-Indiv,0,0,0
All;A;B,All;B;C,Some not;C;A,3,3,0.02158273381294964,0.006711409395973154,0.022546009770365305,0.04896828523589085,Some not,mReasoner-Group,0,0,0
All;A;B,All;B;C,Some not;C;A,3,3,0.02158273381294964,0.006711409395973154,0.022546009770365305,0.04896828523589085,Some not,PHM-Group,0,0,0
All;A;B,All;B;C,Some;A;C,11,11,0.07913669064748201,0.037037037037037035,0.07787765333841302,0.12866440294284096,Some,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,Some;A;C,11,11,0.07913669064748201,0.037037037037037035,0.07787765333841302,0.12866440294284096,Some,PHM-Indiv,0.006937260536398467,0.021930487270722204,0.050400692104544204
All;A;B,All;B;C,Some;A;C,11,11,0.07913669064748201,0.037037037037037035,0.07787765333841302,0.12866440294284096,Some,mReasoner-Group,0,0,0
All;A;B,All;B;C,Some;A;C,11,11,0.07913669064748201,0.037037037037037035,0.07787765333841302,0.12866440294284096,Some,PHM-Group,0,0,0
All;A;B,All;B;C,Some;C;A,5,5,0.03597122302158273,0.00819672131147541,0.036520598817067366,0.07042253521126761,Some,mReasoner-Indiv,0,0,0
All;A;B,All;B;C,Some;C;A,5,5,0.03597122302158273,0.00819672131147541,0.036520598817067366,0.07042253521126761,Some,PHM-Indiv,0.006756756756756757,0.02244279158292096,0.047619047619047616
All;A;B,All;B;C,Some;C;A,5,5,0.03597122302158273,0.00819672131147541,0.036520598817067366,0.07042253521126761,Some,mReasoner-Group,0,0,0
All;A;B,All;B;C,Some;C;A,5,5,0.03597122302158273,0.00819672131147541,0.036520598817067366,0.07042253521126761,Some,PHM-Group,0,0,0
All;A;B,All;C;B,All;A;C,42,42,0.302158273381295,0.2222222222222222,0.30424219839314076,0.381581458417035,All,mReasoner-Indiv,0.43997560975609756,0.518995615685222,0.6
All;A;B,All;C;B,All;A;C,42,42,0.302158273381295,0.2222222222222222,0.30424219839314076,0.381581458417035,All,PHM-Indiv,0.42443919864108715,0.5109457933262994,0.5984875160051216
All;A;B,All;C;B,All;A;C,42,42,0.302158273381295,0.2222222222222222,0.30424219839314076,0.381581458417035,All,mReasoner-Group,0.37974221565185257,0.459628209449148,0.5378787878787878
All;A;B,All;C;B,All;A;C,42,42,0.302158273381295,0.2222222222222222,0.30424219839314076,0.381581458417035,All,PHM-Group,0.4713188460097415,0.556106645453206,0.6387193790928934
All;A;B,All;C;B,All;C;A,15,15,0.1079136690647482,0.060128098022834864,0.10837044447817393,0.15838959854014592,All,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,All;C;A,15,15,0.1079136690647482,0.060128098022834864,0.10837044447817393,0.15838959854014592,All,PHM-Indiv,0.2847209549878345,0.36635239815886045,0.45519016227180525
All;A;B,All;C;B,All;C;A,15,15,0.1079136690647482,0.060128098022834864,0.10837044447817393,0.15838959854014592,All,mReasoner-Group,0,0,0
All;A;B,All;C;B,All;C;A,15,15,0.1079136690647482,0.060128098022834864,0.10837044447817393,0.15838959854014592,All,PHM-Group,0.36128062090710644,0.44389335454679396,0.5286811539902585
All;A;B,All;C;B,No;A;C,2,2,0.014388489208633094,0.0063898415809243835,0.01652508555993063,0.038461538461538464,No,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,No;A;C,2,2,0.014388489208633094,0.0063898415809243835,0.01652508555993063,0.038461538461538464,No,PHM-Indiv,0,0,0
All;A;B,All;C;B,No;A;C,2,2,0.014388489208633094,0.0063898415809243835,0.01652508555993063,0.038461538461538464,No,mReasoner-Group,0,0,0
All;A;B,All;C;B,No;A;C,2,2,0.014388489208633094,0.0063898415809243835,0.01652508555993063,0.038461538461538464,No,PHM-Group,0,0,0
All;A;B,All;C;B,No;C;A,1,1,0.007194244604316547,0.006211180124223602,0.011703217131850071,0.029418270294182626,No,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,No;C;A,1,1,0.007194244604316547,0.006211180124223602,0.011703217131850071,0.029418270294182626,No,PHM-Indiv,0,0,0
All;A;B,All;C;B,No;C;A,1,1,0.007194244604316547,0.006211180124223602,0.011703217131850071,0.029418270294182626,No,mReasoner-Group,0,0,0
All;A;B,All;C;B,No;C;A,1,1,0.007194244604316547,0.006211180124223602,0.011703217131850071,0.029418270294182626,No,PHM-Group,0,0,0
All;A;B,All;C;B,NVC;,61,61,0.43884892086330934,0.3545908346972177,0.43815585245564237,0.518599033816425,NVC,mReasoner-Indiv,0.4,0.481004384314778,0.5600243902439025
All;A;B,All;C;B,NVC;,61,61,0.43884892086330934,0.3545908346972177,0.43815585245564237,0.518599033816425,NVC,PHM-Indiv,0.03621261177921678,0.07912070437111321,0.12592738407699036
All;A;B,All;C;B,NVC;,61,61,0.43884892086330934,0.3545908346972177,0.43815585245564237,0.518599033816425,NVC,mReasoner-Group,0.4621212121212121,0.540371790550852,0.6202577843481475
