model_param,MAP,cred_upper,cred_lower,paramEst
M00_LIT_LIT_firstTermPreference,1.4144436191777383,1.4474083290239936,1.3769042646215035,"1.41 (1.38, 1.45)"
M00_LIT_LIT_noise,0.04849988201117823,0.053991035977614205,0.03942115651129624,"0.05 (0.04, 0.05)"
M00_LIT_LIT_nvcWeight,0.9992278092192997,1,1,"1 (1, 1)"
M00_LIT_LIT_speakerOptimality,2.3821924030674047,2.443669375365766,2.3132636631703525,"2.38 (2.31, 2.44)"
M01_LIT_PRAG_BELIEF_firstTermPreference,2.0082127031766484,2.140679650617747,1.8268725016682081,"2.01 (1.83, 2.14)"
M01_LIT_PRAG_BELIEF_noise,0.06050344513943971,0.06338143165638743,0.017586653193843924,"0.06 (0.02, 0.06)"
M01_LIT_PRAG_BELIEF_nvcWeight,0.9992709843276038,1,1,"1 (1, 1)"
M01_LIT_PRAG_BELIEF_speakerOptimality,6.793858027035145,7.154697737215702,1.4778873587341088,"6.79 (1.48, 7.15)"
M02_LIT_PRAG_STATE_firstTermPreference,1.5337804006096734,1.6529653652617793,1.406726962632411,"1.53 (1.41, 1.65)"
M02_LIT_PRAG_STATE_noise,5.038378035022504e-6,8.965410172407436e-4,4.83930326549053e-6,"0 (0, 0)"
M02_LIT_PRAG_STATE_nvcWeight,0.9992278092192997,1,1,"1 (1, 1)"
M02_LIT_PRAG_STATE_speakerOptimality,0.32134693424243843,1.1100516545577181,0.30917516946823104,"0.32 (0.31, 1.11)"
